#,First name,Last name,Full name,Language,Gender,First name (native),Last name (native),Full name (native)
1,Jakob,Anhalt,Jakob Anhalt,German,Male,Jakob,Anhalt,Jakob Anhalt
2,Adrian,Wilske,Adrian Wilske,German,Male,Adrian,Wilske,Adrian Wilske
3,Adele,Meyer,Adele Meyer,German,Female,Adele,Meyer,Adele Meyer
4,Brigitte,Otto,Brigitte Otto,German,Female,Brigitte,Otto,Brigitte Otto
5,Gebhard,Peters,Gebhard Peters,German,Male,Gebhard,Peters,Gebhard Peters
6,Heiko,Krueger,Heiko Krueger,German,Male,Heiko,Krüger,Heiko Krüger
7,Anna,Lange,Anna Lange,German,Female,Anna,Lange,Anna Lange
8,Friedrich,Knerich,Friedrich Knerich,German,Male,Friedrich,Knerich,Friedrich Knerich
9,Sofia,Stein,Sofia Stein,German,Female,Sofia,Stein,Sofia Stein
10,Conrad,Nuber,Conrad Nuber,German,Male,Conrad,Nuber,Conrad Nuber
11,Detlef,Hembrock,Detlef Hembrock,German,Male,Detlef,Hembrock,Detlef Hembrock
12,Elsa,Kramer,Elsa Kramer,German,Female,Elsa,Kramer,Elsa Kramer
13,Jan,Sachweh,Jan Sachweh,German,Male,Jan,Sachweh,Jan Sachweh
14,Eggert,Kohler,Eggert Kohler,German,Male,Eggert,Kohler,Eggert Kohler
15,Hanna,Peters,Hanna Peters,German,Female,Hanna,Peters,Hanna Peters
16,Christoph,Werner,Christoph Werner,German,Male,Christoph,Werner,Christoph Werner
17,Nickolaus,Schulz,Nickolaus Schulz,German,Male,Nickolaus,Schulz,Nickolaus Schulz
18,Lorenz,Otto,Lorenz Otto,German,Male,Lorenz,Otto,Lorenz Otto
19,Immanuel,Vogel,Immanuel Vogel,German,Male,Immanuel,Vogel,Immanuel Vogel
20,Conny,Hoffmann,Conny Hoffmann,German,Gender neutral,Conny,Hoffmann,Conny Hoffmann
21,Sophie,Walter,Sophie Walter,German,Female,Sophie,Walter,Sophie Walter
22,Conrad,Kutzsche,Conrad Kutzsche,German,Male,Conrad,Kutzsche,Conrad Kutzsche
23,Killian,Gunther,Killian Gunther,German,Male,Killian,Gunther,Killian Gunther
24,Mia,Zimmermann,Mia Zimmermann,German,Female,Mia,Zimmerman,Mia Zimmermann
25,Jonas,Baar,Jonas Baar,German,Male,Jonas,Baar,Jonas Baar
26,Bernd,Skopura,Bernd Skopura,German,Male,Bernd,Skopura,Bernd Skopura
27,Lara,Wolfe,Lara Wolfe,German,Female,Lara,Wolfe,Lara Wolfe
28,Maximilian,Tropschuh,Maximilian Tropschuh,German,Male,Maximilian,Tropschuh,Maximilian Tropschuh
29,Ralf,Krause,Ralf Krause,German,Male,Ralf,Krause,Ralf Krause
30,Ernst,Loetzsch,Ernst Loetzsch,German,Male,Ernst,Loetzsch,Ernst Loetzsch
31,Elke,Endemann,Elke Endemann,German,Female,Elke,Endemann,Elke Endemann
32,Luca,Richter,Luca Richter,German,Gender neutral,Luca,Richter,Luca Richter
33,Hannah,Weber,Hannah Weber,German,Female,Hannah,Weber,Hannah Weber
34,Ingrid,Cranz,Ingrid Cranz,German,Female,Ingrid,Cranz,Ingrid Cranz
35,Gabriel,Moeller,Gabriel Moeller,German,Male,Gabriel,Möller,Gabriel Möller
36,Maja,Hartmann,Maja Hartmann,German,Female,Maja,Hartmann,Maja Hartmann
37,Amala,Braun,Amala Braun,German,Female,Amala,Braun,Amala Braun
38,Klaus,Schroeder,Klaus Schroeder,German,Male,Klaus,Schröder,Klaus Schröder
39,Kai,Schmitt,Kai Schmitt,German,Male,Kai,Schmitt,Kai Schmitt
40,Bernhard,Kohler,Bernhard Kohler,German,Male,Bernhard,Kohler,Bernhard Kohler
41,Jana,Hoffmann,Jana Hoffmann,German,Female,Jana,Hoffmann,Jana Hoffmann
42,Giselle,Faber,Giselle Faber,German,Female,Giselle,Faber,Giselle Faber
43,Kim,Braun,Kim Braun,German,Gender neutral,Kim,Braun,Kim Braun
44,Christiane,Ingenpass,Christiane Ingenpass,German,Female,Christiane,Ingenpass,Christiane Ingenpass
45,Tyge,Hartmann,Tyge Hartmann,German,Male,Tyge,Hartmann,Tyge Hartmann
46,Leonie,Briegel,Leonie Briegel,German,Female,Leonie,Briegel,Leonie Briegel
47,Alina,Moeller,Alina Moeller,German,Female,Alina,Möller,Alina Möller
48,Lothar,Martin,Lothar Martin,German,Male,Lothar,Martin,Lothar Martin
49,Klaus,Buzov,Klaus Buzov,German,Male,Klaus,Buzov,Klaus Buzov
50,Klarissa,Wolf,Klarissa Wolf,German,Female,Klarissa,Wolf,Klarissa Wolf
51,Izaak,Schmitz,Izaak Schmitz,German,Male,Izaak,Schmitz,Izaak Schmitz
52,Niklas,Gasper,Niklas Gasper,German,Male,Niklas,Gasper,Niklas Gasper
53,Lilly,Koenig,Lilly Koenig,German,Female,Lilly,König,Lilly König
54,Hanno,Simon,Hanno Simon,German,Male,Hanno,Simon,Hanno Simon
55,Helga,Schustereit,Helga Schustereit,German,Female,Helga,Schustereit,Helga Schustereit
56,Leni,Martin,Leni Martin,German,Female,Leni,Martin,Leni Martin
57,Werner,Eitner,Werner Eitner,German,Male,Werner,Eitner,Werner Eitner
58,Lea,Schneider,Lea Schneider,German,Female,Lea,Schneider,Lea Schneider
59,Louisa,Guenther,Louisa Guenther,German,Female,Louisa,Günther,Louisa Günther
60,Robin,Becker,Robin Becker,German,Gender neutral,Robin,Becker,Robin Becker
61,Dany,Kramer,Dany Kramer,German,Gender neutral,Dany,Kramer,Dany Kramer
62,Dominique,Koch,Dominique Koch,German,Gender neutral,Dominique,Koch,Dominique Koch
63,Karl,Kadenbach,Karl Kadenbach,German,Male,Karl,Kadenbach,Karl Kadenbach
64,Emma,Blug,Emma Blug,German,Female,Emma,Blug,Emma Blug
65,Kasper,Graf,Kasper Graf,German,Male,Kasper,Graf,Kasper Graf
66,Lisa,Richter,Lisa Richter,German,Female,Lisa,Richter,Lisa Richter
67,Carla,Kobusch,Carla Kobusch,German,Female,Carla,Kobusch,Carla Kobusch
68,Toni,Cranz,Toni Cranz,German,Gender neutral,Toni,Cranz,Toni Cranz
69,Xaver,Kiefer,Xaver Kiefer,German,Male,Xaver,Kiefer,Xaver Kiefer
70,Lena,Koch,Lena Koch,German,Female,Lena,Koch,Lena Koch
71,Lina,Wagner,Lina Wagner,German,Female,Lina,Wagner,Lina Wagner
72,Jule,Heinrich,Jule Heinrich,German,Female,Jule,Heinrich,Jule Heinrich
73,Berend,Klein,Berend Klein,German,Male,Berend,Klein,Berend Klein
74,Marie,Krause,Marie Krause,German,Female,Marie,Krause,Marie Krause
75,Sascha,Lange,Sascha Lange,German,Gender neutral,Sascha,Lange,Sascha Lange
