#,First name,Last name,Full name,Language,Gender,First name (native),Last name (native),Full name (native)
1,Anna,Pidecabanyes,Anna Pidecabanyes,Catalan,Female,Anna,Pidecabanyes,Anna Pidecabanyes
2,Carme,Fontbernat,Carme Fontbernat,Catalan,Female,Carme,Fontbernat,Carme Fontbernat
3,Joana,Puigxoriguer,Joana Puigxoriguer,Catalan,Female,Joana,Puigxoriguer,Joana Puigxoriguer
4,Marta,Guanyavents,Marta Guanyavents,Catalan,Female,Marta,Guanyavents,Marta Guanyavents
5,Clara,Rieradevall,Clara Rieradevall,Catalan,Female,Clara,Rieradevall,Clara Rieradevall
6,Marc,Surinyach,Marc Surinyach,Catalan,Male,Marc,Surinyach,Marc Surinyach
7,Laura,Montfulleda,Laura Montfulleda,Catalan,Female,Laura,Montfulleda,Laura Montfulleda
8,Julia,Serradesanferm,Julia Serradesanferm,Catalan,Female,Júlia,Serradesanferm,Júlia Serradesanferm
9,Ernest,Arquimbau,Ernest Arquimbau,Catalan,Male,Ernest,Arquimbau,Ernest Arquimbau
10,Marta,Reixachdamunt,Marta Reixachdamunt,Catalan,Female,Marta,Reixachdamunt,Marta Reixachdamunt
11,Pol,Bertolich,Pol Bertolich,Catalan,Male,Pol,Bertolich,Pol Bertolich
12,Pere,Castellsegui,Pere Castellsegui,Catalan,Male,Pere,Castellseguí,Pere Castellseguí
13,Lluis,Sobregrau,Lluis Sobregrau,Catalan,Male,Lluís,Sobregrau,Lluís Sobregrau
14,Bartomeu,Collelldemont,Bartomeu Collelldemont,Catalan,Male,Bartomeu,Collelldemont,Bartomeu Collelldemont
15,Esteve,Desvalls,Esteve Desvalls,Catalan,Male,Esteve,Desvalls,Esteve Desvalls
16,Xavier,Serradelarca,Xavier Serradelarca,Catalan,Male,Xavier,Serradelarca,Xavier Serradelarca
17,Rafel,Tornafoch,Rafel Tornafoch,Catalan,Male,Rafel,Tornafoch,Rafel Tornafoch
18,Sara,Folgueroles,Sara Folgueroles,Catalan,Female,Sara,Folgueroles,Sara Folgueroles
19,Enric,Argilaguet,Enric Argilaguet,Catalan,Male,Enric,Argilaguet,Enric Argilaguet
20,Montserrat,Desriols,Montserrat Desriols,Catalan,Female,Montserrat,Desriols,Montserrat Desriols
